procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 2080072 13755668   8404 425884   36  119   198   142  212  291  2  1 97  0  0
 0  0 2080072 12704828   8404 426268    0    0     0     0  303  467  1  3 96  0  0
 0  0 2050584 11590972   8404 479532 39708    0 52676     0 10427 11917  4  6 85  5  0
 1  0 2050584 11502788   8404 479436    0    0   128     0 5347 2560  1  1 98  0  0
 0  0 2047492 10446556   8404 568756 4500    0  5596     0 6415 4879  3  5 91  1  0
 0  0 2047492 9406652   8404 556444    0    0     0     0  718 1028  2  3 95  0  0
 1  0 2047460 8535544   8412 488032   52    0    52    16  325  491  2  3 96  0  0
 0  0 2047324 8423372   8412 486764  196    0   792     0  273  589  1  1 99  0  0
 0  0 2047208 7371248   8412 487372  152    0  1124     0  374  624  2  3 95  0  0
 0  0 2047208 6320660   8412 487604    0    0     0     0  280  430  2  3 96  0  0
 1  0 2047204 5433620   8412 487608    0    0     0     0  279  465  1  3 96  0  0
 0  0 2047204 5270072   8412 487608    0    0     0     0  234  493  0  1 99  0  0
 0  0 2047192 4219484   8420 487616   32    0    32    12  371  599  1  3 95  0  0
 1  0 2047188 3166628   8420 490056    0    0  2736     0  412  622  1  3 95  0  0
 1  0 2047188 2316380   8420 491304    0    0   759     0  400  779  1  3 95  1  0
 0  0 2047112 2115032   8420 491616   92    0    92     0  250  515  1  1 99  0  0
 0  0 2047108 1065956   8420 488548    0    0     0     0  414  546  2  3 95  0  0
 3  0 2074888 135968   8352 444388   24 27644    24 27864 3480 1456  1 10 88  0  0
 0  0 2097144 174000   7348 382244  176 22580  1184 22624 3847 1910  0 12 88  0  0
 1  1 2096796 14987080   1124 276632  360  176 92896   192 2646 4443  2 13 79  6  0
 0  0 2096788 14976976   1124 286316    8    0  9152     0  340  677  0  0 99  0  0
